location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Precipitation Total,Cloud Cover Total,Evapotranspiration,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Temperature,Temperature,Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Moisture,Soil Moisture,Soil Moisture,Vapor Pressure Deficit,Vapor Pressure Deficit,Vapor Pressure Deficit
unit,°C,°C,°C,%,%,%,mm,%,mm,km/h,km/h,km/h,°,°C,°C,°C,°C,°C,°C,fraction,fraction,fraction,hPa,hPa,hPa
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,sfc,sfc,sfc,10 m,10 m,10 m,10 m,sfc,sfc,sfc,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Summation,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Precipitation Total,Basel Cloud Cover Total,Basel Evapotranspiration,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Temperature,Basel Temperature,Basel Temperature,Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m]
20050101T0000,2.4550288,5.015029,3.3496122,92.0,100.0,97.208336,1.9000002,100.0,0.08928,5.2878885,17.024607,9.044072,209.47049,0.72,5.19,2.1316664,0.19000244,2.4400024,1.0216738,0.322,0.344,0.33579162,0.0,0.63180685,0.20628794
20050102T0000,1.9750288,6.6650286,3.7091951,85.0,100.0,93.583336,2.8,96.208336,0.67968005,15.287276,33.197544,22.004591,252.88565,0.0,5.55,2.2229168,0.730011,5.6400146,2.6075046,0.318,0.356,0.336625,0.0,1.297792,0.4872264
20050103T0000,-0.21497118,5.0450287,2.5566952,78.0,100.0,91.666664,1.8000002,62.958332,0.38303998,7.6331854,18.181675,12.320496,239.57205,-2.23,6.83,1.4962498,1.8500061,3.8399963,2.6591733,0.337,0.352,0.34191668,4.7683716e-07,1.6890416,0.59961206
20050104T0000,-1.4849713,6.5850286,1.5729456,68.0,97.0,88.0,0.0,37.95,0.31680003,5.394189,9.10449,7.3181386,203.3024,-3.8,6.47,-0.15833329,-0.1000061,1.5599976,0.8133354,0.333,0.351,0.33808336,0.16168356,2.42739,0.85227126
20050105T0000,-1.8249712,7.465029,3.011279,68.0,95.0,87.916664,1.1,59.295834,0.52415997,6.2191706,15.894952,9.448666,209.4415,-3.94,7.97,1.6737503,0.30999756,3.1600037,1.6158346,0.333,0.351,0.33950004,0.28847027,2.7251835,0.92322105
20050106T0000,5.805029,8.445029,6.8291955,88.0,95.0,92.833336,1.3000001,100.0,0.54576,7.401894,18.242079,13.775243,240.0464,4.0,7.77,5.4220843,3.2799988,7.0400085,5.1683426,0.333,0.351,0.34066668,0.41743565,1.2031393,0.6541416
20050107T0000,2.4750288,10.555029,6.397528,74.0,100.0,90.833336,0.0,51.520832,0.52128,4.7952,10.126704,7.048904,194.96216,0.12,10.12,4.7054167,2.7600098,6.0599976,4.633756,0.328,0.344,0.33675,0.0,2.9849558,0.9029813
20050108T0000,-1.2449713,12.4550295,4.981279,64.0,100.0,85.333336,0.0,33.370834,0.7372799,6.4433565,17.373285,11.447597,213.40207,-3.02,11.12,3.4487498,1.8200073,7.399994,3.8875072,0.326,0.343,0.3352083,0.0,4.731901,1.5075685
20050109T0000,4.2050285,10.155029,7.328362,82.0,95.0,90.75,1.4000001,81.708336,0.40032,5.986595,11.128379,8.345443,218.24344,0.35,9.08,5.2566667,3.6900024,7.8000183,5.7420907,0.331,0.345,0.33595833,0.37287617,2.019538,0.90125436
20050110T0000,0.9350288,12.915029,5.326696,66.0,97.0,85.875,0.0,9.458333,0.51263994,5.0264254,8.08909,6.532242,174.2894,-1.39,12.22,2.9349997,2.480011,8.320007,4.192089,0.322,0.343,0.331625,0.17680979,4.546812,1.4448563
20050111T0000,0.34502876,9.965029,4.497529,65.0,97.0,84.333336,0.0,1.0833334,0.53136003,4.270717,7.237064,5.8500924,180.45381,-1.53,9.92,1.99625,2.480011,6.220001,3.5670865,0.329,0.341,0.33304164,0.1734848,3.7984881,1.434895
20050112T0000,1.3250288,11.765029,6.222529,63.0,98.0,85.083336,3.4000003,56.6375,0.56304,4.5833187,7.329631,5.831901,188.71974,-1.08,12.09,4.662083,2.2700195,7.8900146,4.7195945,0.328,0.342,0.33358335,0.19374752,4.14266,1.4337229
20050113T0000,2.7050288,7.3750286,5.5616956,79.0,97.0,88.208336,1.6,67.458336,0.55728,1.8837326,6.399148,4.7275987,268.19272,-1.28,7.81,4.5591664,4.5500183,6.4299927,5.3729224,0.327,0.343,0.33533332,0.27044487,1.7667975,0.9589717
20050114T0000,-1.3249712,4.435029,1.517529,79.0,98.0,91.541664,0.0,50.0,0.29808,0.79920006,4.552245,3.1962397,90.44936,-3.67,5.68,0.18875007,0.29000854,4.5500183,2.3070958,0.329,0.346,0.33466664,0.0998044,1.591845,0.55733985
20050115T0000,-2.4549713,5.0450287,0.24294548,63.0,97.0,85.916664,0.0,42.291668,0.30672,3.5039446,5.0545845,4.4083385,107.59925,-5.15,6.71,-1.23625,0.29000854,1.8000183,0.7595927,0.334,0.35,0.33958337,0.14760637,2.9282937,0.91241115
20050116T0000,-2.4649713,8.165029,1.888362,61.0,98.0,83.5,0.0,1.0375,0.4032,3.4734309,5.1243067,4.517368,160.25673,-5.05,7.88,-1.2366668,-0.97998047,0.7200012,0.28916803,0.336,0.363,0.345625,0.12547636,3.4423137,1.2602177
20050117T0000,-0.5849712,9.075028,3.1962788,63.0,97.0,83.666664,0.0,19.65,0.56304,4.295571,6.9315205,5.489679,191.52258,-3.28,9.16,0.6479165,0.36001587,2.2900085,1.39792,0.335,0.357,0.345,0.1720953,3.8731446,1.3169123
20050118T0000,0.9350288,7.645029,3.712529,78.0,96.0,89.166664,8.599999,97.958336,0.73152006,7.2125063,24.04841,16.266787,230.62311,-0.58,6.76,2.335,1.3500061,3.7400208,2.2091725,0.334,0.363,0.34416667,0.23574638,1.8029003,0.81592184
20050119T0000,-1.6749711,4.095029,0.9979455,83.0,99.0,91.833336,1.7000002,79.541664,0.42768,12.340963,25.972294,16.665041,234.11433,-3.9,4.24,0.070416644,0.47000122,1.6100159,1.2841784,0.329,0.34,0.33299997,0.048619747,1.2392573,0.51982665
20050120T0000,1.0950288,6.265029,3.9896126,90.0,100.0,95.541664,8.7,100.0,0.35999998,16.93265,45.27311,24.516928,232.10127,-0.22,4.78,2.3837497,0.19000244,3.5100098,1.7250048,0.328,0.357,0.34304166,0.0,0.83195114,0.31998798
20050121T0000,3.4950287,7.2850285,5.738779,77.0,100.0,90.083336,12.5,89.666664,1.15056,18.087755,46.67553,29.889944,269.8029,1.97,5.89,4.1266665,3.5700073,6.4100037,4.4866753,0.345,0.366,0.3538334,0.0,1.8788776,0.7912576
20050122T0000,2.6550288,5.6650286,3.6604452,62.0,94.0,79.708336,2.0,74.541664,0.9820799,1.1302395,18.009111,10.019788,267.8455,-0.2,7.34,2.5045834,1.6400146,4.8200073,3.0500069,0.336,0.35,0.34295833,0.4092579,3.1415253,1.5060014
20050123T0000,-1.4149711,4.2550287,1.362112,69.0,99.0,85.875,0.0,43.666668,0.46368,1.0983953,15.888252,7.6456604,14.97287,-4.7,5.48,0.03291665,0.74002075,2.1600037,1.5470911,0.325,0.337,0.33020833,0.053498745,2.320054,0.9298282
20050124T0000,-4.8049707,0.5550288,-1.0783044,73.0,97.0,88.791664,7.4,87.125,0.53423995,6.3322554,15.992876,11.247159,311.88852,-9.58,0.92,-1.96875,-2.0899963,1.0200195,-0.58915836,0.324,0.342,0.3312083,0.15837717,1.4296193,0.5796806
