location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Precipitation Total,Cloud Cover Total,Evapotranspiration,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Temperature,Temperature,Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Moisture,Soil Moisture,Soil Moisture,Vapor Pressure Deficit,Vapor Pressure Deficit,Vapor Pressure Deficit
unit,°C,°C,°C,%,%,%,mm,%,mm,km/h,km/h,km/h,°,°C,°C,°C,°C,°C,°C,fraction,fraction,fraction,hPa,hPa,hPa
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,sfc,sfc,sfc,10 m,10 m,10 m,10 m,sfc,sfc,sfc,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Summation,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Precipitation Total,Basel Cloud Cover Total,Basel Evapotranspiration,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Temperature,Basel Temperature,Basel Temperature,Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m]
20150101T0000,-3.1949713,2.3950288,-0.7733045,74.0,98.0,91.958336,0.0,61.625,0.0936,1.191377,8.258399,4.240242,170.71046,-5.76,3.13,-2.0549998,-0.19998169,0.83999634,0.38500085,0.303,0.33,0.31458336,0.086761,1.7034564,0.45083165
20150102T0000,-3.2949712,5.9050283,0.9004453,74.0,100.0,96.0,5.3999996,94.833336,0.14687999,3.4115846,14.846872,10.1837,204.96176,-4.71,5.37,-0.36333323,-0.19000244,1.0,0.0737559,0.32,0.364,0.3315833,0.0,2.1859303,0.256141
20150103T0000,2.7550287,7.225029,4.416279,85.0,100.0,97.541664,10.099999,100.0,0.06624,1.3583788,34.861774,15.5209465,233.21414,1.29,7.61,2.8837497,1.1400146,3.4100037,2.1562576,0.316,0.345,0.3290417,-4.7683716e-07,1.382585,0.19281252
20150104T0000,1.3250288,6.4050283,4.360862,72.0,100.0,88.583336,3.0,66.125,0.27792,0.2664,31.260878,7.215323,300.83783,-2.37,7.2,2.9920833,3.5400085,5.0599976,3.9950078,0.315,0.344,0.32516667,0.0,2.2681155,0.8465832
20150105T0000,-0.52497125,5.605029,1.7996122,68.0,100.0,86.125,0.0,36.958332,0.24048,3.4115846,5.7384315,4.841149,150.86761,-4.07,6.23,-0.24874996,0.0,3.6900024,1.5379257,0.315,0.335,0.32141665,0.0,2.6343741,0.969451
20150106T0000,-0.9349711,8.205029,2.2225292,53.0,97.0,74.208336,0.0,12.162499,0.42768002,3.8142672,6.9468617,5.272801,176.97206,-4.06,7.8,-0.6745834,0.58999634,1.0500183,0.75042343,0.322,0.331,0.32766664,0.15663195,4.5366316,1.8610883
20150107T0000,-1.5049713,5.365029,2.347112,74.0,98.0,90.125,0.0,69.583336,0.28368,5.0264254,10.775213,6.68055,204.58253,-2.91,5.85,1.2091668,0.02999878,2.9100037,1.4845848,0.313,0.339,0.32629168,0.100773335,2.03749,0.7252217
20150108T0000,4.0050287,9.7050295,6.516279,72.0,95.0,85.166664,2.4999998,99.541664,0.84096,11.182454,23.390163,17.10282,220.53372,2.35,10.03,5.1545835,2.7400208,6.75,4.490004,0.309,0.321,0.3133333,0.3782053,3.0595002,1.3879577
20150109T0000,6.2050285,9.885029,7.4496117,72.0,95.0,88.083336,2.8000002,97.0,0.75168,14.770192,30.018211,20.098192,232.60208,4.56,9.98,5.8829174,4.26001,6.230011,4.9925056,0.308,0.325,0.31458333,0.42928696,2.8774314,1.1538838
20150110T0000,9.175029,13.985029,11.597529,80.0,95.0,89.708336,4.0,100.0,0.92448,17.961761,32.80616,25.662432,240.59161,7.13,12.94,9.877084,5.7700195,10.230011,8.33709,0.31,0.327,0.3160833,0.58615875,2.9083843,1.3314915
20150111T0000,3.035029,10.315029,5.1304455,78.0,97.0,87.291664,8.3,82.875,1.1692799,15.4993515,27.428854,21.17739,266.6576,0.78,8.7,3.704583,2.4700012,8.77002,4.9620934,0.32,0.342,0.32912502,0.33093452,1.7386918,0.97372156
20150112T0000,-1.3849711,10.925029,3.4229457,48.0,97.0,83.208336,0.0,64.17083,0.8841599,8.855546,20.472975,14.202557,222.93152,-2.98,9.59,1.8533336,1.8300171,6.1799927,3.3145878,0.311,0.319,0.31470838,0.15149689,6.1703763,1.5593848
20150113T0000,-1.5049713,11.805029,3.8525288,49.0,96.0,79.75,0.0,22.125,0.69407994,8.673356,16.802217,12.390095,197.2046,-3.32,10.38,2.0179164,1.1499939,4.2400208,2.8075066,0.313,0.32,0.31570837,0.24878025,6.106882,1.8739411
20150114T0000,3.6750288,8.845029,6.789196,73.0,95.0,84.375,2.3999999,89.958336,1.1174401,9.120067,32.349777,21.641533,234.67455,1.43,8.55,5.0158334,2.5700073,6.220001,4.8045883,0.312,0.33,0.31745836,0.35907364,2.7822704,1.4229921
20150115T0000,0.71502876,13.645029,6.1816955,51.0,98.0,80.75,0.0,70.245834,0.8208,8.931355,15.845762,11.185707,180.84608,-1.1,12.12,4.0454164,2.619995,8.679993,4.658339,0.311,0.317,0.31379163,0.11908293,6.825837,2.1470845
20150116T0000,-0.16497123,10.095029,5.4383626,69.0,98.0,88.5,13.000001,90.75,0.30095997,1.6848617,9.508652,5.682422,176.83862,-0.76,9.39,4.205,2.0,7.2400208,4.355419,0.308,0.348,0.32062504,0.16311836,3.478094,1.0490228
20150117T0000,-0.12497115,5.5450287,3.7058628,81.0,97.0,89.625,7.2,77.166664,0.6696,4.6600966,15.333628,7.52671,240.5003,-2.12,5.91,2.34625,3.3900146,5.4200134,4.1766763,0.324,0.346,0.33562502,0.16359854,1.5026588,0.7698398
20150118T0000,-1.4849713,5.2950287,1.1991956,63.0,98.0,84.25,0.0,76.42917,0.5227199,4.161301,7.5818768,6.0444617,151.27571,-3.45,6.88,0.13333328,1.4500122,3.830017,2.2654293,0.324,0.33,0.32658342,0.10715532,2.9803224,1.0793195
20150119T0000,-1.0749712,6.565029,2.8641956,60.0,96.0,85.875,4.9,92.083336,0.53424,2.1967907,6.6172385,4.5050883,175.56552,-3.14,7.07,2.3104167,1.1700134,4.529999,2.552508,0.32,0.333,0.32820836,0.26606464,3.521637,1.0280057
20150120T0000,1.8650289,5.105029,2.9887788,76.0,96.0,89.875,2.5999997,100.0,0.39456,2.8318708,7.36826,4.6977477,2.5447998,0.89,7.51,2.863333,2.0400085,5.0200195,3.1745884,0.32,0.329,0.32408333,0.25222826,1.9074883,0.72864515
20150121T0000,0.4750288,7.1150284,2.9800289,64.0,100.0,86.625,0.1,70.916664,0.23472,2.1967907,5.2474713,3.6414785,84.717125,-1.44,9.54,2.3258336,2.080017,5.119995,3.3958347,0.314,0.32,0.31725,4.7683716e-07,3.0287952,1.0200542
20150122T0000,0.26502883,6.8350286,2.6812792,65.0,100.0,84.375,0.0,77.083336,0.42912003,2.8318708,5.956885,4.2943134,8.313889,-1.16,9.43,2.2950003,0.76000977,4.5899963,2.3266728,0.309,0.318,0.315,0.0,3.139884,1.1693406
20150123T0000,-0.2049712,2.0250287,0.7625289,84.0,96.0,92.416664,0.0,100.0,0.13824,4.336678,9.092791,7.769383,8.721222,-0.72,3.0,0.3999999,0.6300049,2.1400146,1.0283407,0.303,0.32,0.31033334,0.21685171,0.9547472,0.44992223
20150124T0000,-0.9649713,2.8750288,0.38419545,73.0,96.0,89.708336,3.3,100.0,0.2232,2.382754,11.880961,7.2885747,253.62158,-1.5,4.47,0.17791665,0.08001709,0.89001465,0.6333415,0.305,0.321,0.31108335,0.23148298,1.8311248,0.60930276
