location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Precipitation Total,Cloud Cover Total,Evapotranspiration,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Temperature,Temperature,Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Moisture,Soil Moisture,Soil Moisture,Vapor Pressure Deficit,Vapor Pressure Deficit,Vapor Pressure Deficit
unit,°C,°C,°C,%,%,%,mm,%,mm,km/h,km/h,km/h,°,°C,°C,°C,°C,°C,°C,fraction,fraction,fraction,hPa,hPa,hPa
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,sfc,sfc,sfc,10 m,10 m,10 m,10 m,sfc,sfc,sfc,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Summation,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Precipitation Total,Basel Cloud Cover Total,Basel Evapotranspiration,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Temperature,Basel Temperature,Basel Temperature,Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m]
20100101T0000,0.08502877,6.9050283,4.7683616,91.0,97.0,94.416664,6.3,100.0,0.33984,1.1302395,22.478855,6.386213,300.2346,-0.8,7.11,3.8133335,2.6400146,5.3399963,4.16709,0.326,0.356,0.34166667,0.2314682,0.80068684,0.4380065
20100102T0000,-3.1349714,1.0650288,-1.3378878,55.0,93.0,80.083336,2.2,53.333332,0.8409599,6.823169,23.723064,15.378475,270.04727,-4.39,3.08,-2.0270832,1.5700073,2.6400146,2.1429303,0.335,0.35,0.34295836,0.36982203,2.6735013,1.0375375
20100103T0000,-4.784971,2.8150287,-1.7908045,54.0,92.0,75.666664,0.0,2.3291667,0.47951996,2.3976,9.35819,6.116531,175.71085,-6.18,3.53,-3.1379166,-1.9199829,1.8300171,0.5666733,0.351,0.363,0.35658333,0.34861898,2.9182954,1.2857436
20100104T0000,-4.404971,0.055028796,-2.825388,68.0,100.0,87.958336,0.0,25.833334,0.34991997,3.9603205,6.9468617,5.0950966,50.37886,-6.13,1.78,-3.7304163,-1.25,1.4700012,-0.13041432,0.349,0.371,0.3575833,0.0,1.7683043,0.59738487
20100105T0000,-4.3349714,1.6950288,-1.5595546,66.0,98.0,87.0,0.0,94.625,0.47808,2.2761226,4.6600966,3.6385746,63.832817,-5.81,3.78,-1.6937499,-1.1999817,-0.07998657,-0.2241567,0.322,0.362,0.34291664,0.07957482,2.117701,0.6907131
20100106T0000,-2.164971,1.0750288,-0.50372124,64.0,95.0,83.708336,0.8000001,84.208336,0.4104,0.0,7.1730385,3.2243087,230.13046,-5.79,2.75,-1.355,-0.08999634,1.1100159,0.44792557,0.318,0.329,0.32079175,0.25798082,2.059106,0.88672894
20100107T0000,-3.3249714,2.6550288,0.11586215,64.0,99.0,83.833336,0.4,79.666664,0.56448007,2.7167575,7.743951,5.6470656,144.77559,-5.29,4.07,-0.4487501,-0.07998657,1.7099915,1.079174,0.319,0.333,0.32433334,0.04295683,2.4032078,0.9658585
20100108T0000,-3.2149713,1.4250288,-0.49913788,82.0,95.0,92.083336,5.5000005,100.0,0.34703997,6.66,31.039888,18.762976,39.866867,-4.21,2.26,-1.2029167,-0.54000854,0.9500122,0.38167444,0.314,0.333,0.32129166,0.2319169,1.0993819,0.43340525
20100109T0000,-4.114971,-1.1849711,-2.961221,78.0,94.0,90.208336,2.5999994,100.0,0.63359994,6.487264,16.800106,12.1078005,21.42276,-5.04,0.94,-3.206667,-1.0700073,-0.049987793,-0.3504181,0.313,0.336,0.32275003,0.24967504,1.1093266,0.44325542
20100110T0000,-4.064971,-1.1949713,-2.6803882,74.0,97.0,88.625,3.1999998,97.166664,0.63791996,2.8318708,12.222506,5.818336,256.5514,-6.84,0.67,-3.1770833,-1.1900024,-0.35998535,-0.60249585,0.317,0.34,0.32533333,0.121840954,1.3100498,0.53077
20100111T0000,-5.1749716,-0.53497124,-2.6541376,68.0,97.0,88.416664,0.0,84.833336,0.50688004,2.1477854,4.802594,3.355304,250.84644,-7.37,1.36,-3.655833,-2.1799927,-0.32998657,-1.0083262,0.323,0.341,0.3305833,0.11755538,1.6931083,0.56014234
20100112T0000,-4.784971,-0.11497116,-2.3270545,76.0,96.0,90.125,0.0,63.791668,0.29088002,2.1477854,7.3150935,4.907941,136.7262,-9.22,1.26,-3.82625,-1.9700012,-0.6799927,-1.2424914,0.325,0.338,0.331,0.15377402,1.2839642,0.4847745
20100113T0000,-1.7449713,2.1950288,0.9971121,93.0,100.0,96.791664,4.6999993,100.0,0.07344001,5.9568853,9.682458,8.025276,164.45367,-2.48,0.92,-0.235,-1.3399963,0.42999268,-0.5274951,0.322,0.355,0.33574998,0.0,0.351398,0.18188496
20100114T0000,-0.51497126,2.4250288,1.0846123,91.0,100.0,96.125,0.0,100.0,0.00576,2.9784424,5.8608,4.6425834,99.85971,-1.22,3.27,0.495,-0.13000488,1.3500061,0.68625385,0.334,0.354,0.342625,0.0,0.5909357,0.23208885
20100115T0000,-0.62497115,4.315029,1.0100288,78.0,100.0,93.166664,0.0,74.125,0.22176,1.4346079,4.802594,3.2017543,192.55756,-5.29,5.84,-0.41916665,-0.13998413,0.6799927,0.5612526,0.323,0.356,0.33604166,0.0,1.6535192,0.44705573
20100116T0000,-2.8349712,3.1750288,0.5975288,77.0,100.0,93.291664,3.0,95.958336,0.26351997,4.161301,11.182454,7.1655693,149.10013,-2.99,2.5,0.02583327,-0.6799927,0.89001465,0.33459345,0.33,0.356,0.3379583,0.0,1.5232759,0.39798805
20100117T0000,2.6050286,6.2050285,3.6454456,90.0,100.0,97.375,9.5,100.0,0.09216001,10.9839525,39.800728,17.195261,225.20967,1.32,6.4,2.1191666,1.0400085,2.6400146,1.7066714,0.345,0.362,0.35333335,0.0,0.85857344,0.19505881
20100118T0000,1.1650288,6.0750284,2.9216955,78.0,96.0,92.208336,0.6,100.0,0.16127999,1.0656,11.442802,5.5632477,183.26016,0.49,7.22,2.260833,1.1300049,3.2799988,2.0708401,0.339,0.355,0.34495834,0.23973131,1.8213325,0.56043476
20100119T0000,-2.0349712,5.105029,0.79002875,69.0,99.0,88.166664,0.0,53.916668,0.22032002,2.1477854,4.336678,3.4907444,119.26239,-3.57,6.19,-0.10791675,0.58999634,2.600006,1.7725042,0.329,0.346,0.33745834,0.053223133,2.3048816,0.7854312
20100120T0000,-3.054971,4.185029,0.7150286,63.0,100.0,87.208336,1.7,86.041664,0.5256001,4.295571,7.501892,5.553159,143.22672,-3.19,5.16,0.26416662,-0.17999268,2.130005,0.87167615,0.337,0.364,0.3477083,0.0,2.505713,0.8260641
20100121T0000,1.6150289,5.735029,3.4258623,75.0,100.0,90.458336,2.3000002,85.833336,0.42912,3.7391024,9.092791,6.56064,203.65889,-1.93,6.84,2.28875,-0.07998657,4.6900024,2.080424,0.335,0.348,0.34245834,0.0,2.0755033,0.7394042
20100122T0000,-0.9249711,4.385029,2.0366952,68.0,97.0,86.541664,0.0,70.625,0.44783998,3.554219,5.8668513,4.698839,116.3732,-1.28,6.53,1.9583336,1.1600037,3.5,2.1233342,0.324,0.351,0.33683333,0.15421677,2.3948946,0.9149556
20100123T0000,-3.5449712,3.9450288,-0.028721223,66.0,97.0,86.416664,0.0,83.92916,0.32687998,3.5840454,6.0397053,5.0812345,137.75162,-3.12,5.41,-0.29041675,-0.11999512,1.5299988,0.8791733,0.33,0.353,0.33670834,0.16712332,2.3648171,0.8551631
